theta1,theta2
90.0,90.0001
89.9718964215695,90.00009999772213
89.88758578108231,90.00009982832555
89.74706893089399,90.0000980305044
89.55034918451217,90.00008892373526
89.29743515449483,90.00005774320068
88.98834472011497,89.99997383762377
88.62311011371214,89.99978194838593
88.20178410343372,89.99939160691397
87.72444723299687,89.9986647156746
87.19121605521089,89.99740141785921
86.60225226468584,89.99532441307277
85.95777259638105,89.9920619412855
85.25805931118067,89.98712973396209
84.5034710393287,89.97991231704171
83.69445370036671,89.96964414075897
82.83155116859758,89.9553910995192
81.91541531172011,89.93603308249483
80.94681500374568,89.91024825207886
79.92664370850311,89.87649977198804
78.85592525317239,89.83302568963097
77.73581746671816,89.77783261087231
76.56761344710992,89.7086936864489
75.35274034105015,89.62315126086445
74.09275566328769,89.51852432615297
72.78934133795667,89.39192069039451
71.4442957971767,89.24025353501311
70.05952460668142,89.06026181845424
68.6370301900439,88.84853380823063
67.17890128118948,88.60153290518939
65.68730274362191,88.31562487248718
64.16446635441248,87.98710559786139
62.612683067440045,87.61222859379203
61.034297153878775,87.18723156201827
59.431702481184686,86.70836149876766
57.80734104786876,86.1718979763317
56.16370375177262,85.57417438846726
54.50333324334906,84.91159707842942
52.82882860835741,84.18066237084257
51.14285153902072,83.37797159845792
49.44813358898588,82.5002442527248
47.747484063336394,81.54432939692676
46.04379806714502,80.50721546862464
44.34006422072593,79.38603857192354
42.639371542774,78.17808932798238
40.94491499991468,76.88081832284254
39.259999218803074,75.49184017382679
37.58803985060582,74.0089362384023
35.93256206276324,72.43005602188704
34.29719560369275,70.75331741290793
32.68566583542726,68.97700599959977
31.101780047997053,67.09957390854935
29.54940824622577,65.11963887821328
28.032457420648512,63.03598464744874
26.55483806369867,60.84756422875882
25.120421354242854,58.55350826647442
23.732984995969986,56.15314147033078
22.396145157973482,53.64601106971293
21.113271355490838,51.03193232722905
19.887380502668993,48.31105729362869
18.721005934403248,45.48397397720313
17.616037240868916,42.55184355015856
16.573527801087895,39.51658245637258
15.593469701013872,36.38109330913537
14.674541234355537,33.14954196063922
13.813841302510816,29.82766678983357
13.00663794799112,26.42308962534845
12.24617341013939,22.945577571489203
11.523581001259839,19.407186958055703
10.827972144952856,15.822214578833751
10.146736625521632,12.206898604136455
9.466061629270545,8.578857547228125
8.77162250844168,4.9563218463366665
8.049349221142073,1.3572747398005987
7.286149295957572,-2.2013516866252956
6.4704824314652285,-5.704298047835524
5.592726121259068,-9.138346356469594
4.645325121992498,-12.492433079673065
3.6227595149213148,-15.757555641813706
2.521386611678647,-18.92654517282439
1.3392127671675125,-21.993776757395377
0.07564016207826464,-24.95487230293853
-1.2687811524506625,-27.806430968661974
-2.692578998623638,-30.545804489021194
-4.193555439468393,-33.17092220433535
-5.76895271654962,-35.68016309914111
-7.415590926383217,-38.07226846728512
-9.12998089532956,-40.346287640376005
-10.908415876626394,-42.50154945709107
-12.74704529251188,-44.537653081403285
-14.641933128541977,-46.454472953873356
-16.58910295149642,-48.25217383901563
-18.584570963731412,-49.931232994162094
-20.624368066273504,-51.49246737936327
-22.704551592999387,-52.93706453328733
-24.821207200847464,-54.2666162467443
-26.970441357513256,-55.48315446234765
-29.14836496431306,-56.58918889924046
-31.351068899187492,-57.58774572379878
-33.57459267705514,-58.48240613905179
-35.814888010786916,-59.27734303731248
-38.067779806777246,-59.97735287280266
-40.32892799895402,-60.587878740477066
-42.593794511525296,-61.115019454483964
-44.85762036802976,-61.56551846986921
-47.115418284325834,-61.94672614864347
-49.36198570945557,-62.266529547347744
-51.59194196323009,-62.53324594101734
-53.79979076929387,-62.7554798071087
-55.98000627483898,-62.94194768245968
-58.12713708769045,-63.10128041458115
-60.23591971105849,-63.24181673091673
-62.301390825743155,-63.37140457285506
-64.31898772692111,-63.49722648418821
-66.28462795947556,-63.62566241285757
-68.19476237421513,-63.762198262188434
-70.04639964298633,-63.91138262378799
-71.83710384909895,-64.07682864015709
-73.56496944770103,-64.26125386025045
-75.22857936737861,-64.46654870560165
-76.82695234888459,-64.69386367681997
-78.35948507020434,-64.94370627573986
-79.82589355238939,-65.21604024955592
-81.22615710767269,-65.51038168090138
-82.56046691722554,-65.82588829091505
-83.82918034387333,-66.16143988422296
-85.03278134369408,-66.51570906621492
-86.17184683224288,-66.88722220988426
-87.24701854951118,-67.27441119311719
-88.25897980616159,-67.67565673527582
-89.20843643743453,-68.08932430043465
-90.09610130311601,-68.51379355988759
-90.92268172371314,-68.94748236198504
-91.6888693144629,-69.38886607428827
-92.39533175677722,-69.83649306261655
-93.04270612312564,-70.28899696725396
-93.63159344173117,-70.74510633625843
-94.16255424978279,-71.20365208357373
-94.63610493766127,-71.66357315712946
-95.0527147323438,-72.12392072946061
-95.41280320659885,-72.58386115985654
-95.7167382329211,-73.0426779214796
-95.96483432856918,-73.49977263789953
-96.15735136170835,-73.95466532965769
-96.29449360960523,-74.40699393142611
-96.37640917906327,-74.85651310276971
-96.40318981771495,-75.30309231926728
-96.37487116319062,-75.74671319473367
-96.29143349624542,-76.18746594859178
-96.15280308418922,-76.62554489433441
-95.95885422281356,-77.06124278500916
-95.70941210858004,-77.49494380963108
-95.40425669793356,-77.92711499076972
-95.04312773654797,-78.35829568939741
-94.6257311667487,-78.78908488058421
-94.15174714400561,-79.22012582633786
-93.62083990976834,-79.65208774519377
-93.03266977303777,-80.08564406970149
-92.3869074402051,-80.52144690298323
-91.68325089330165,-80.96009734703185
-90.92144494080392,-81.40211149365481
-90.10130344175522,-81.84788206030098
-89.22273402343828,-82.29763593229782
-88.28576486923866,-82.75138824953106
-87.29057284854768,-83.2088941470994
-86.23751190902674,-83.66959980520383
-85.12714028495111,-84.13259503730956
-83.96024474514003,-84.59657017186898
-82.73785987960333,-85.05978035908512
-81.46128038415124,-85.52002054333792
-80.13206451798247,-85.97461407669473
-78.75202742158237,-86.42041724492184
-77.3232237788926,-86.85384084658502
-75.84792030948731,-87.27088851751266
-74.32855964155941,-87.6672099287869
-72.76771806666284,-88.03816556373083
-71.16806034099103,-88.37889874899511
-69.53229495722464,-88.68441015445802
-67.86313313259173,-88.94963014307194
-66.16325420065562,-89.16948507086565
-64.43527928359428,-89.33895473326174
-62.6817542155097,-89.4531194042809
-60.90514183168661,-89.50719610969539
-59.1078230391219,-89.49656475849699
-57.29210559287923,-89.41678544731842
-55.46023922529689,-89.26360863664327
-53.614435680865164,-89.0329800125099
-51.75689225126896,-88.72104175621283
-49.88981753211628,-88.32413171677113
-48.015458291107706,-87.83878167894161
-46.136126513665864,-87.26171559166968
-44.25422585488552,-86.58984830125502
-42.37227686484786,-85.8202850400457
-40.492940464386606,-84.95032166510128
-38.61903923199313,-83.97744542543383
-36.75357612435625,-82.89933586107007
-34.899750298921575,-81.71386530086833
-33.06096974263942,-80.41909832749369
-31.24086044156175,-79.01328951695152
-29.443271854223237,-77.4948787378724
-27.672278478474496,-75.86248331544812
-25.932177324203483,-74.11488643184806
-24.227481116822577,-72.25102125716033
-22.562907047123037,-70.26995049425703
-20.943360834220414,-68.17084129486335
-19.373915753444763,-65.9529358882569
-17.859786062545197,-63.6155187967572
-16.406293884999414,-61.15788225042584
-15.018828006710061,-58.57929244072876
-13.702792115927453,-55.87896068889307
-12.463538642546437,-53.05602561349594
-11.306282385057584,-50.1095551734037
-10.235985403277647,-47.038581270613946
-9.257201119074335,-43.84218460356237
-8.373861342489711,-40.51965359554316
-7.5889857054981595,-37.07074774242565
-6.904290540646442,-33.49610042623344
-6.319677374902232,-29.797794252066627
