theta1,theta2
90.0,90.00020000000002
89.97189642158152,90.00019999769808
89.88758578127478,90.00019982794062
89.74706893186836,90.0001980285557
89.55034918759135,90.00018891757679
89.29743516201104,90.00015772816748
88.9883447356956,90.00007380645904
88.62311014256204,89.99988189067425
88.20178415261077,89.99949150852531
87.72444731167693,89.99876455822594
87.19121617493657,89.99750117820261
86.6022524395924,89.99542406282123
85.957772843391,89.99216144639016
85.25805965015776,89.98722905435655
84.50347149318111,89.98001140637069
83.69445429508838,89.96974294620982
82.83155193323769,89.95548956177377
81.91541627827142,89.9361311358186
80.94681620694487,89.91034582456021
79.92664518553993,89.87659678593597
78.85592704330845,89.8331220621331
77.73581961082166,89.77792825450688
76.5676159871184,89.70878851013607
75.35274331937843,89.62324517083344
74.09275912220355,89.51861722699373
72.78934531895023,89.39201248615664
71.4443003403512,89.24034413031093
70.05952975019311,89.06035111953658
68.63703596961598,88.84862172397615
67.17890772972159,88.60161934799365
65.68730989091003,88.31570975901533
64.16447422698818,87.98718884964924
62.61269168853125,87.61231013768763
61.03430654348743,87.18731133046515
59.43171265627198,86.70843942993842
57.807352022634014,86.17197401412676
56.16371553800937,85.57424848239722
54.503345850860384,84.91166918340188
52.82884204541263,84.18073244687416
51.14286581283592,83.37803961033129
49.44814870621256,82.5003101696078
47.74750003054385,81.54439319196875
46.04381489128458,80.50727711854098
44.3400819095666,79.38609805657684
42.63939010530095,78.17814662996592
40.944934446683625,76.88087342706875
39.26001956224443,75.49189306712242
37.58806110527326,74.00898690911016
35.9325842455216,72.43010445947459
34.297218733839614,70.75336360758313
32.68568993474181,68.97704994193685
31.101805140707725,67.09961558913008
29.549434358885517,65.11967828729392
28.03248458190226,63.03602177466974
26.55486630392182,60.84759906292336
25.120450705021778,58.5535407954338
23.733015489385355,56.15317168103039
22.396176825634413,53.64603894847184
21.113304227253,51.03195786034951
19.887414604953754,48.311080468457476
18.721041288021095,45.48399478379111
17.616073858244555,42.55186198368113
16.57356568279707,39.51659852046777
15.593508831588814,36.381107020269006
